source,steam_id,name,release_date,year,is_free,price,currency,metacritic,recommendations,genres,developers,publishers
itch,,Magic Chef,,Unknown,True,0.0,USD,,0,Simulation,Fire Forge Developers,Self-published
itch,,Shadow Past,,Unknown,True,0.0,USD,,0,Platformer,Hv Game Studio,Self-published
itch,,FUCK! I LOST ALL MY WEED AND NOW I HAVE TO GET IT BACK OR ELSE THE WEED DEMON WILL STEAL MY SOUL: The Game: The Movie,,Unknown,True,0.0,USD,,0,Unknown,*insert name*,Self-published
itch,,"""Quiero ser un mito""",,Unknown,True,0.0,USD,,0,Visual Novel,Reliash,Self-published
itch,,What would you do?,,Unknown,True,0.0,USD,,0,Interactive Fiction,Sara01,Self-published
itch,,La Iglesia de la Noche,,Unknown,True,0.0,USD,,0,Unknown,Throndev,Self-published
itch,,Hirokae,,Unknown,True,0.0,USD,,0,Adventure,AkiJaline,Self-published
itch,,La sociedad de la nieve,,Unknown,True,0.0,USD,,0,Survival,marcelozarate,Self-published
itch,,La Conquista,,Unknown,True,0.0,USD,,0,Action,Forxiga,Self-published
itch,,CHOLITO,,Unknown,True,0.0,USD,,0,Simulation,pablocelva,Self-published
itch,,El Trompo y el PingÃ¼ino,,Unknown,True,0.0,USD,,0,Platformer,b_28282,Self-published
itch,,CapitÃ¡n Arturo,,Unknown,True,0.0,USD,,0,Unknown,Route5Games,Self-published
itch,,Cherry Y La FusiÃ³n Prohibida,,Unknown,True,0.0,USD,,0,Adventure,Nikozuki,Self-published
itch,,Walter is Coming,,Unknown,True,0.0,USD,,0,Adventure,Misulas,Self-published
itch,,Carnivile,,Unknown,True,0.0,USD,,0,Unknown,VangelPix,Self-published
itch,,Dreamnesthesia,,Unknown,True,0.0,USD,,0,Unknown,Merge Branch Games,Self-published
itch,,Negro Matapacos,,Unknown,True,0.0,USD,,0,Action,Nemoris Games,Self-published
itch,,Battle Power Ultra,,Unknown,True,0.0,USD,,0,Action,Juan Pablo Vargas Seguel (Champol),Self-published
itch,,Corrupted CHICKEN Soul,,Unknown,True,0.0,USD,,0,Platformer,alvaromorenou,Self-published
