game,genre,price_usd,copies_sold,revenue_usd,metacritic,year,developers,is_free,is_paid,has_metacritic
Huemulixir,Interactive Fiction,0.0,0,0.0,,Unknown,CLSource,True,False,False
Age of Origins - Prototype,Educational,0.0,0,0.0,,Unknown,Rolando Chaparro Gehren,True,False,False
Super Happy Jump,Platformer,0.0,0,0.0,,Unknown,Elvis Brevi,True,False,False
Erden - Classic RPG (DEMO),Role Playing,0.0,0,0.0,,Unknown,XeloSky,True,False,False
Molly Inc (Prototype),Adventure,0.0,0,0.0,,Unknown,Rolando Chaparro Gehren,True,False,False
Presidential Fighter,Unknown,0.0,0,0.0,,Unknown,imkrut,True,False,False
Kito,Platformer,0.0,0,0.0,,Unknown,Krypth,True,False,False
Portonazo,Fighting,0.0,0,0.0,,Unknown,Victor Rosas,True,False,False
FireFighters,Strategy,0.0,0,0.0,,Unknown,CÃ©sar Jara,True,False,False
Dismal Day,Survival,0.0,0,0.0,,Unknown,Phyro,True,False,False
Portales: El peso de la noche,Role Playing,0.0,0,0.0,,Unknown,Rolando Chaparro Gehren,True,False,False
ScapeFromLatam,Unknown,0.0,0,0.0,,Unknown,Rancucho,True,False,False
CaleidoMar: La Jaiba,Simulation,0.0,0,0.0,,Unknown,pulpaulaa,True,False,False
Zogar,Platformer,0.0,0,0.0,,Unknown,Avgrat,True,False,False
STGO SK8 (Santiago Skate),Sports,0.0,0,0.0,,Unknown,Disketx,True,False,False
MaldiciÃ³n del Alicanto,Survival,0.0,0,0.0,,Unknown,MDL74FSRE1Hz,True,False,False
Michi come back home,Adventure,0.0,0,0.0,,Unknown,cpher,True,False,False
The Longest Completo,Unknown,0.0,0,0.0,,Unknown,[Random Adjective],True,False,False
Churro Maniacs,Simulation,0.0,0,0.0,,Unknown,FlammyGameDev,True,False,False
Memoria Fragmentada,Unknown,0.0,0,0.0,,Unknown,FlammyGameDev,True,False,False
Pintamonos,Visual Novel,0.0,0,0.0,,Unknown,Diegowned,True,False,False
Jueguito para una gamejam de la U xd,Unknown,0.0,0,0.0,,Unknown,Chucruu,True,False,False
One Button Prototype,Platformer,0.0,0,0.0,,Unknown,Elvis Brevi,True,False,False
Retro Penal,Sports,0.0,0,0.0,,Unknown,Elvis Brevi,True,False,False
Que No Caiga,Sports,0.0,0,0.0,,Unknown,Elvis Brevi,True,False,False
Suika_CL,Unknown,0.0,0,0.0,,Unknown,FlammyGameDev,True,False,False
Candy Party,Platformer,0.0,0,0.0,,Unknown,KaitoArtz,True,False,False
Finding Gustavo,Interactive Fiction,0.0,0,0.0,,Unknown,fiala,True,False,False
BODO -QUEST,Adventure,0.0,0,0.0,,Unknown,cbasensei,True,False,False
Magic Chef,Simulation,0.0,0,0.0,,Unknown,Fire Forge Developers,True,False,False
