source,steam_id,name,release_date,year,is_free,price,currency,metacritic,recommendations,genres,developers,publishers,estimated_copies,price_usd,gross_revenue_est_usd,primary_genre,dev_location
steam,2844350.0,Cosmic Horror Tales: Roots Below,Por confirmarse,Unknown,False,0.0,CLP,,0,"Acción, Indie, Rol",Moss Tower Studio,Moss Tower Studio,0,0.0,0.0,Acción,Chile (General)
steam,2861080.0,Haunted Paws,Por confirmarse,Unknown,False,0.0,CLP,,0,"Aventura, Indie",LazyFlock,LazyFlock,0,0.0,0.0,Aventura,Chile (General)
steam,2895640.0,Gallery of Shadows - Lycans Returns,Próximamente,Unknown,False,0.0,CLP,,0,"Acción, Aventura, Indie, Simuladores",Little Kings,Little Kings,0,0.0,0.0,Acción,Chile (General)
steam,2990920.0,"Stop, Pawssport Check",Por confirmarse,Unknown,False,0.0,CLP,,0,"Acción, Casual, Indie, Simuladores",Mezcla Estudio,Mezcla Estudio,0,0.0,0.0,Acción,Chile (General)
steam,306260.0,Selknam Defense,25 JUL 2014,2014,False,3000.0,CLP,,0,"Acción, Indie, Estrategia",,,0,3.16,0.0,Acción,Chile (General)
steam,3072400.0,Arm Around!,Por confirmarse,Unknown,False,0.0,CLP,,0,"Acción, Aventura, Indie, Simuladores",RAM CANDY,RAM CANDY,0,0.0,0.0,Acción,Chile (General)
steam,3074110.0,The Rangers In The South,9 ENE 2025,2025,False,3900.0,CLP,,758,"Acción, Indie, Rol",DPA Studios,DPA Studios,30320,4.11,124615.20000000001,Acción,Chile (General)
steam,3219410.0,The Trolley Solution,12 SEP 2025,2025,False,3000.0,CLP,,465,"Acción, Aventura, Casual, Indie",byDanDans,The Bueno Interactive,18600,3.16,58776.0,Acción,Chile (General)
steam,3327880.0,Leap Galaxy,2026,2026,False,0.0,CLP,,0,"Acción, Indie, Carreras",Peach in Tune,Peach in Tune,0,0.0,0.0,Acción,Chile (General)
steam,3352560.0,Night in Delirium,Próximamente,Unknown,False,0.0,CLP,,0,"Indie, Simuladores",Grupo Trenza,Grupo Trenza,0,0.0,0.0,Indie,Chile (General)
steam,3377480.0,Tiles in Time,24 MAR 2025,2025,False,5200.0,CLP,,0,"Casual, Indie, Estrategia",Tyrant Team 7,Tyrant Team 7,0,5.47,0.0,Casual,Chile (General)
steam,3403100.0,Dungeon Shifters,5 AGO 2025,2025,False,3000.0,CLP,,0,"Acción, Aventura, Casual, Indie, Rol, Acceso anticipado",Shifting Realms,MUVIRON SpA,0,3.16,0.0,Acción,Chile (General)
steam,3479650.0,El Pasante Elementalista,8 FEB 2025,2025,True,0.0,CLP,,0,"Aventura, Indie, Free to Play","Gustavo A. Ruiz González, Claudio Pastene Sandoval","Gustavo A. Ruiz González, Claudio Pastene Sandoval",0,0.0,0.0,Aventura,Chile (General)
steam,3549280.0,Bulbo's Belief System,Próximamente,Unknown,False,0.0,CLP,,0,"Acción, Casual, Indie",Abstract Digital,Abstract Digital,0,0.0,0.0,Acción,Santiago
steam,3571850.0,Selve,Próximamente,Unknown,False,0.0,CLP,,0,"Aventura, Indie","Nicolas Frois, Distant Point",Distant Point,0,0.0,0.0,Aventura,Chile (General)
steam,3583290.0,Oriontis,Próximamente,Unknown,False,0.0,CLP,,0,"Indie, Simuladores, Estrategia",Beacon 55,Beacon 55,0,0.0,0.0,Indie,Chile (General)
steam,3729560.0,Isekai Guild,Por confirmarse,Unknown,False,0.0,CLP,,0,"Aventura, Indie, Rol, Simuladores, Estrategia",Time Hunters SpA,Time Hunters SpA,0,0.0,0.0,Aventura,Santiago
steam,3740690.0,Hybrid Blood,1 SEP 2025,2025,False,9800.0,CLP,,0,"Acción, Aventura, Indie, Rol, Acceso anticipado",Huggman,Huggman,0,10.32,0.0,Acción,Chile (General)
steam,3781770.0,"Scalpel, Please!",Próximamente,Unknown,False,0.0,CLP,,0,"Casual, Indie, Simuladores",WoolCat Games,WoolCat Games,0,0.0,0.0,Casual,Chile (General)
steam,3843120.0,Valiants: Arena,16 OCT 2025,2025,True,0.0,CLP,,0,"Casual, Indie, Estrategia, Free to Play, Acceso anticipado",Vortrius,Vortrius,0,0.0,0.0,Casual,Chile (General)
steam,3911490.0,Forge the Fates,Próximamente,Unknown,False,0.0,CLP,,0,"Indie, Estrategia",Chaos Logic Studios,Surefire.Games,0,0.0,0.0,Indie,Chile (General)
